num,timestamp,time_diff,packet_size,packet_direct,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
141,1732679020.5414226,0.0016281604766845703,1164,0,3953252863,1096,1487854146,4,72,1096,-1,-1,0
142,1732679020.5415878,0.0001652240753173828,92,1,1487854146,24,3953253959,5,0,24,0,-1,0
143,1732679020.5431385,0.0015506744384765625,1164,0,2743246647,1096,2319451676,4,72,1096,-1,-1,0
144,1732679020.5433052,0.0001666545867919922,92,1,2319451676,24,2743247743,5,0,24,0,-1,0
145,1732679020.5449903,0.0016851425170898438,1164,0,518254329,1096,4155632689,4,72,1096,-1,-1,0
146,1732679020.5451653,0.00017499923706054688,92,1,4155632689,24,518255425,5,0,24,0,-1,0
147,1732679020.5467868,0.0016214847564697266,140,0,793690716,72,594296630,4,0,72,6,9,0
148,1732679020.5468557,6.890296936035156e-05,92,1,594296630,24,793690788,5,0,24,6,-1,0
149,1732679020.5485075,0.001651763916015625,140,0,793690788,72,594296654,4,0,72,31,12,0
150,1732679020.5485077,2.384185791015625e-07,140,0,793690860,72,594296654,4,0,72,4115,6,0
151,1732679020.548576,6.842613220214844e-05,68,1,594296654,0,793690932,-1,-1,-1,-1,-1,0
152,1732679020.5486436,6.747245788574219e-05,1516,1,594296654,1448,793690932,-1,-1,-1,-1,-1,0
153,1732679020.54866,1.6450881958007812e-05,1516,1,594298102,1448,793690932,-1,-1,-1,-1,-1,0
154,1732679020.548684,2.384185791015625e-05,1316,1,594299550,1248,793690932,7,24,4120,4115,-1,1
154,1732679020.548684,0.0,1316,1,594299550,1248,793690932,5,0,24,4115,-1,0
155,1732679020.5511272,0.0024433135986328125,68,0,793690932,0,594299550,-1,-1,-1,-1,-1,0
156,1732679020.5511277,4.76837158203125e-07,212,0,793690932,144,594300798,4,0,72,4116,6,1
156,1732679020.5511277,0.0,212,0,793690932,144,594300798,4,0,72,7,6,0
157,1732679020.5512505,0.0001227855682373047,1516,1,594300798,1448,793691076,-1,-1,-1,-1,-1,0
158,1732679020.5512917,4.124641418457031e-05,1516,1,594302246,1448,793691076,-1,-1,-1,-1,-1,0
159,1732679020.5513294,3.7670135498046875e-05,1516,1,594303694,1448,793691076,7,24,4120,4116,-1,1
159,1732679020.5513294,0.0,1516,1,594303694,1448,793691076,5,0,24,4116,-1,0
160,1732679020.5513408,1.1444091796875e-05,1516,1,594305142,1448,793691076,-1,-1,-1,-1,-1,0
161,1732679020.551351,1.0251998901367188e-05,1516,1,594306590,1448,793691076,-1,-1,-1,-1,-1,0
162,1732679020.551361,1.0013580322265625e-05,1116,1,594308038,1048,793691076,7,24,4120,7,-1,1
162,1732679020.551361,0.0,1116,1,594308038,1048,793691076,5,0,24,7,-1,0
163,1732679020.5536263,0.0022652149200439453,68,0,793691076,0,594303694,-1,-1,-1,-1,-1,0
164,1732679020.554257,0.0006306171417236328,68,0,793691076,0,594306590,-1,-1,-1,-1,-1,0
165,1732679020.554257,0.0,68,0,793691076,0,594309086,-1,-1,-1,-1,-1,0
166,1732679020.5559087,0.001651763916015625,140,0,793691076,72,594309086,4,0,72,4117,6,0
167,1732679020.5560317,0.00012302398681640625,1516,1,594309086,1448,793691148,-1,-1,-1,-1,-1,0
168,1732679020.5560725,4.076957702636719e-05,1516,1,594310534,1448,793691148,-1,-1,-1,-1,-1,0
169,1732679020.5560997,2.7179718017578125e-05,1316,1,594311982,1248,793691148,7,24,4120,4117,-1,1
169,1732679020.5560997,0.0,1316,1,594311982,1248,793691148,5,0,24,4117,-1,0
170,1732679020.5571303,0.0010306835174560547,140,0,793691148,72,594309086,4,0,72,8210,6,0
171,1732679020.5572245,9.417533874511719e-05,1516,1,594313230,1448,793691220,-1,-1,-1,-1,-1,0
172,1732679020.5572605,3.600120544433594e-05,1516,1,594314678,1448,793691220,-1,-1,-1,-1,-1,0
173,1732679020.557285,2.4557113647460938e-05,1316,1,594316126,1248,793691220,7,24,4120,8210,-1,1
173,1732679020.557285,0.0,1316,1,594316126,1248,793691220,5,0,24,8210,-1,0
174,1732679020.558257,0.0009720325469970703,68,0,793691220,0,594311982,-1,-1,-1,-1,-1,0
175,1732679020.558257,0.0,140,0,793691220,72,594313230,4,0,72,10,6,0
176,1732679020.5583537,9.655952453613281e-05,1516,1,594317374,1448,793691292,-1,-1,-1,-1,-1,0
177,1732679020.5583875,3.3855438232421875e-05,1516,1,594318822,1448,793691292,-1,-1,-1,-1,-1,0
178,1732679020.558412,2.4557113647460938e-05,1316,1,594320270,1248,793691292,7,24,4120,10,-1,1
178,1732679020.558412,0.0,1316,1,594320270,1248,793691292,5,0,24,10,-1,0
179,1732679020.5593834,0.0009713172912597656,68,0,793691292,0,594316126,-1,-1,-1,-1,-1,0
180,1732679020.5593836,2.384185791015625e-07,140,0,793691292,72,594317374,4,0,72,8211,2,0
181,1732679020.5595152,0.0001316070556640625,628,1,594321518,560,793691364,7,24,536,8211,-1,1
181,1732679020.5595152,0.0,628,1,594321518,560,793691364,5,0,24,8211,-1,0
182,1732679020.5603092,0.0007939338684082031,68,0,793691364,0,594320270,-1,-1,-1,-1,-1,0
183,1732679020.5609877,0.0006785392761230469,68,0,793691364,0,594322078,-1,-1,-1,-1,-1,0
184,1732679020.563169,0.0021812915802001953,140,0,793691364,72,594322078,4,0,72,11,6,0
185,1732679020.56327,0.0001010894775390625,1516,1,594322078,1448,793691436,-1,-1,-1,-1,-1,0
186,1732679020.5633073,3.719329833984375e-05,1516,1,594323526,1448,793691436,-1,-1,-1,-1,-1,0
187,1732679020.5633328,2.5510787963867188e-05,1316,1,594324974,1248,793691436,7,24,4120,11,-1,1
187,1732679020.5633328,0.0,1316,1,594324974,1248,793691436,5,0,24,11,-1,0
