packet_size,,,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
1316,2.2455999996395803e-05,1,1329127728,1248,3847804482,7,24,4120,23,-1,1
1316,0.0,1,1329127728,1248,3847804482,5,0,24,23,-1,-1
140,4.1100000203186937e-07,0,3847804482,72,1329128976,4,0,72,24,2,-1
1316,3.575099999864051e-05,1,1329131872,1248,3847804554,7,24,4120,24,-1,1
1316,0.0,1,1329131872,1248,3847804554,5,0,24,24,-1,-1
140,2.2800000465394987e-07,0,3847804554,72,1329133120,4,0,72,25,2,-1
1316,2.2435999994740996e-05,1,1329136016,1248,3847804626,7,24,4120,25,-1,1
1316,0.0,1,1329136016,1248,3847804626,5,0,24,25,-1,-1
140,2.2999999771400326e-07,0,3847804626,72,1329137264,4,0,72,26,2,-1
1316,2.348400001039863e-05,1,1329140160,1248,3847804698,7,24,4120,26,-1,1
1316,0.0,1,1329140160,1248,3847804698,5,0,24,26,-1,-1
140,0.0019263039999941611,0,3847804698,72,1329141408,4,0,72,27,2,-1
1316,2.3316000010709104e-05,1,1329144304,1248,3847804770,7,24,4120,27,-1,1
1316,0.0,1,1329144304,1248,3847804770,5,0,24,27,-1,-1
140,2.520000066397188e-07,0,3847804770,72,1329145552,4,0,72,28,2,-1
1316,2.3506000005113492e-05,1,1329148448,1248,3847804842,7,24,4120,28,-1,1
1316,0.0,1,1329148448,1248,3847804842,5,0,24,28,-1,-1
140,2.5399999969977216e-07,0,3847804842,72,1329149696,4,0,72,29,2,-1
1316,2.421699998933491e-05,1,1329152592,1248,3847804914,7,24,4120,29,-1,1
1316,0.0,1,1329152592,1248,3847804914,5,0,24,29,-1,-1
140,2.199999897811722e-07,0,3847804914,72,1329153840,4,0,72,30,2,-1
1316,2.315000000407963e-05,1,1329156736,1248,3847804986,7,24,4120,30,-1,1
1316,0.0,1,1329156736,1248,3847804986,5,0,24,30,-1,-1
140,2.58999989455333e-07,0,3847804986,72,1329157984,4,0,72,31,2,-1
1316,2.4172000010480588e-05,1,1329160880,1248,3847805058,7,24,4120,31,-1,1
1316,0.0,1,1329160880,1248,3847805058,5,0,24,31,-1,-1
140,2.6000000730164174e-07,0,3847805058,72,1329162128,4,0,72,32,2,-1
1316,2.4148999997919418e-05,1,1329165024,1248,3847805130,7,24,4120,32,-1,1
1316,0.0,1,1329165024,1248,3847805130,5,0,24,32,-1,-1
140,2.4700000267330324e-07,0,3847805130,72,1329166272,4,0,72,4113,2,-1
1316,2.3130000002424822e-05,1,1329169168,1248,3847805202,7,24,4120,4113,-1,1
1316,0.0,1,1329169168,1248,3847805202,5,0,24,4113,-1,-1
140,3.0600000400227145e-07,0,3847805202,72,1329170416,4,0,72,4114,2,-1
1316,2.3626000000831482e-05,1,1329173312,1248,3847805274,7,24,4120,4114,-1,1
1316,0.0,1,1329173312,1248,3847805274,5,0,24,4114,-1,-1
140,2.7999999474559445e-07,0,3847805274,72,1329174560,4,0,72,4115,2,-1
1316,3.018000001020482e-05,1,1329177456,1248,3847805346,7,24,4120,4115,-1,1
1316,0.0,1,1329177456,1248,3847805346,5,0,24,4115,-1,-1
140,4.179999990583383e-07,0,3847805346,72,1329178704,4,0,72,4116,2,-1
1316,3.772099999821421e-05,1,1329181600,1248,3847805418,7,24,4120,4116,-1,1
1316,0.0,1,1329181600,1248,3847805418,5,0,24,4116,-1,-1
140,2.7099999044821743e-07,0,3847805418,72,1329182848,4,0,72,4117,2,-1
1316,2.3983999994925398e-05,1,1329185744,1248,3847805490,7,24,4120,4117,-1,1
1316,0.0,1,1329185744,1248,3847805490,5,0,24,4117,-1,-1
140,4.0000000467443897e-07,0,3847805490,72,1329186992,4,0,72,4118,2,-1
140,1.3799999010188913e-07,0,3847805562,72,1329186992,4,0,72,4119,2,-1
140,9.700001157852967e-08,0,3847805634,72,1329186992,4,0,72,4120,2,-1
140,8.227799999360741e-05,0,3847805706,72,1329186992,4,0,72,4121,2,-1
140,9.000000034120603e-08,0,3847805778,72,1329186992,4,0,72,4122,2,-1
1516,4.01070000037862e-05,1,1329189888,1448,3847805850,7,24,4120,4118,-1,1
1516,0.0,1,1329189888,1448,3847805850,5,0,24,4118,-1,-1
868,2.4934999999004503e-05,1,1329198576,800,3847805850,7,24,8216,4119,-1,1
868,0.0,1,1329198576,800,3847805850,5,0,24,4119,-1,-1
1516,9.805999994227932e-06,1,1329260192,1448,3847805850,7,24,61464,4121,-1,1
1516,0.0,1,1329260192,1448,3847805850,5,0,24,4121,-1,-1
748,9.998999999538682e-06,1,1329284808,680,3847805850,7,24,24600,4120,-1,1
748,0.0,1,1329284808,680,3847805850,5,0,24,4120,-1,-1
1116,9.859000002165885e-06,1,1329411464,1048,3847805850,7,24,127000,4122,-1,1
1116,0.0,1,1329411464,1048,3847805850,5,0,24,4122,-1,-1
140,0.000884241000008501,0,3847805850,72,1329412512,4,0,72,4123,2,-1
420,9.014000013962686e-06,1,1329670256,352,3847805922,7,24,258072,4123,-1,1
420,0.0,1,1329670256,352,3847805922,5,0,24,4123,-1,-1
140,2.5800000003073364e-07,0,3847805922,72,1329670608,4,0,72,4124,2,-1
140,1.0499999802959792e-07,0,3847805994,72,1329670608,4,0,72,4125,2,-1
140,8.899999670575198e-08,0,3847806066,72,1329670608,4,0,72,4126,2,-1
140,8.800000728115265e-08,0,3847806138,72,1329670608,4,0,72,4127,2,-1
140,9.000000034120603e-08,0,3847806210,72,1329670608,4,0,72,4128,2,-1
140,8.600000001024455e-08,0,3847806282,72,1329670608,4,0,72,8209,2,-1
140,8.70000036456986e-08,0,3847806354,72,1329670608,4,0,72,8210,2,-1
140,6.944399999042616e-05,0,3847806426,72,1329670608,4,0,72,8211,2,-1
1516,0.00012021200001299803,1,1329686536,1448,3847806498,7,24,16408,4124,-1,1
1516,0.0,1,1329686536,1448,3847806498,5,0,24,4124,-1,-1
1516,9.66499999321968e-06,1,1329690880,1448,3847806498,7,24,4120,4125,-1,1
1516,0.0,1,1329690880,1448,3847806498,5,0,24,4125,-1,-1
1516,1.0200999994935955e-05,1,1329698120,1448,3847806498,7,24,8216,4126,-1,1
1516,0.0,1,1329698120,1448,3847806498,5,0,24,4126,-1,-1
1516,9.771000009095587e-06,1,1329715496,1448,3847806498,7,24,16408,4127,-1,1
1516,0.0,1,1329715496,1448,3847806498,5,0,24,4127,-1,-1
1516,8.898000004364803e-06,1,1329801064,1448,3847806498,7,24,86040,4128,-1,1
1516,0.0,1,1329801064,1448,3847806498,5,0,24,4128,-1,-1
1516,1.0074000002191497e-05,1,1329825680,1448,3847806498,7,24,24600,8209,-1,1
1516,0.0,1,1329825680,1448,3847806498,5,0,24,8209,-1,-1
1004,1.3702000003945614e-05,1,1329866616,936,3847806498,7,24,40984,8210,-1,1
1004,0.0,1,1329866616,936,3847806498,5,0,24,8210,-1,-1
780,8.835000002704874e-06,1,1329903752,712,3847806498,7,24,36888,8211,-1,1
780,0.0,1,1329903752,712,3847806498,5,0,24,8211,-1,-1
140,0.0008753339999998389,0,3847806498,72,1329904464,4,0,72,8212,2,-1
140,2.4499999540239514e-07,0,3847806570,72,1329904464,4,0,72,8213,2,-1
140,7.900000298377563e-08,0,3847806642,72,1329904464,4,0,72,8214,2,-1
140,8.199999967928306e-08,0,3847806714,72,1329904464,4,0,72,8215,2,-1
140,7.899998877292091e-08,0,3847806786,72,1329904464,4,0,72,8216,2,-1
1516,8.758000006992006e-06,1,1329960936,1448,3847806858,7,24,57368,8212,-1,1
1516,0.0,1,1329960936,1448,3847806858,5,0,24,8212,-1,-1
1516,8.878999992134595e-06,1,1330026048,1448,3847806858,7,24,65560,8213,-1,1
1516,0.0,1,1330026048,1448,3847806858,5,0,24,8213,-1,-1
1460,9.210999991182689e-06,1,1330087536,1392,3847806858,7,24,61464,8214,-1,1
1460,0.0,1,1330087536,1392,3847806858,5,0,24,8214,-1,-1
1516,9.946000005811584e-06,1,1330116440,1448,3847806858,7,24,28696,8215,-1,1
1516,0.0,1,1330116440,1448,3847806858,5,0,24,8215,-1,-1
1516,9.308999992185818e-06,1,1330136712,1448,3847806858,7,24,20504,8216,-1,-1
84,9.024000007684663e-06,1,1330138160,16,3847806858,5,0,24,8216,-1,-1
140,0.00850423400000011,0,793691508,72,594330366,4,0,72,12306,6,-1
1316,2.398099999822989e-05,1,594333262,1248,793691580,7,24,4120,12306,-1,1
1316,0.0,1,594333262,1248,793691580,5,0,24,12306,-1,-1
140,8.49999963747905e-08,0,793691580,72,594334510,4,0,72,12307,6,-1
1316,3.855099998872902e-05,1,594337406,1248,793691652,7,24,4120,12307,-1,1
1316,0.0,1,594337406,1248,793691652,5,0,24,12307,-1,-1
140,2.3800001258678094e-07,0,793691652,72,594338654,4,0,72,12308,6,-1
1316,2.1612999987041803e-05,1,594341550,1248,793691724,7,24,4120,12308,-1,1
1316,0.0,1,594341550,1248,793691724,5,0,24,12308,-1,-1
140,2.410640404999981,0,793691724,72,594342798,4,0,72,16384,24,-1
92,7.842500002652741e-05,1,594342798,24,793691796,5,0,24,16384,-1,-1
140,1.2271880760000045,0,793691796,72,594342822,4,0,72,16385,24,-1
92,9.3122000009771e-05,1,594342822,24,793691868,5,0,24,16385,-1,-1
140,1.331523006999987,0,793691868,72,594342846,4,0,72,20480,24,-1
92,8.462200000280973e-05,1,594342846,24,793691940,5,0,24,20480,-1,-1
140,1.224026871999996,0,793691940,72,594342870,4,0,72,20481,24,-1
92,0.00010008199998878808,1,594342870,24,793692012,5,0,24,20481,-1,-1
140,1.3285212160000128,0,793692012,72,594342894,4,0,72,24576,24,-1
92,7.50830000129099e-05,1,594342894,24,793692084,5,0,24,24576,-1,-1
140,1.2258343050000065,0,793692084,72,594342918,4,0,72,24577,24,-1
92,8.70380000037585e-05,1,594342918,24,793692156,5,0,24,24577,-1,-1
140,1.3281615189999911,0,793692156,72,594342942,4,0,72,28672,24,-1
92,0.0001492800000164607,1,594342942,24,793692228,5,0,24,28672,-1,-1
140,1.2249085090000165,0,793692228,72,594342966,4,0,72,28673,24,-1
92,8.500300000946481e-05,1,594342966,24,793692300,5,0,24,28673,-1,-1
140,1.3293389039999965,0,793692300,72,594342990,4,0,72,32768,24,-1
92,0.00014201400000501962,1,594342990,24,793692372,5,0,24,32768,-1,-1
140,1.2267914949999863,0,793692372,72,594343014,4,0,72,32769,24,-1
92,9.452099999407437e-05,1,594343014,24,793692444,5,0,24,32769,-1,-1
140,1.3294459849999782,0,793692444,72,594343038,4,0,72,36864,24,-1
92,0.00010570100002382787,1,594343038,24,793692516,5,0,24,36864,-1,-1
140,1.2271530380000115,0,793692516,72,594343062,4,0,72,36865,24,-1
92,0.00010460199999329234,1,594343062,24,793692588,5,0,24,36865,-1,-1
140,1.329014094999991,0,793692588,72,594343086,4,0,72,40960,24,-1
92,0.00014261000001170032,1,594343086,24,793692660,5,0,24,40960,-1,-1
140,1.2267608589999952,0,793692660,72,594343110,4,0,72,40961,24,-1
92,9.901699999659286e-05,1,594343110,24,793692732,5,0,24,40961,-1,-1
140,1.3294945140000038,0,793692732,72,594343134,4,0,72,45056,24,-1
92,0.00010302800001227297,1,594343134,24,793692804,5,0,24,45056,-1,-1
140,1.226681678999995,0,793692804,72,594343158,4,0,72,45057,24,-1
92,9.363500001313696e-05,1,594343158,24,793692876,5,0,24,45057,-1,-1
140,1.3296946369999887,0,793692876,72,594343182,4,0,72,49152,24,-1
92,8.894399999803682e-05,1,594343182,24,793692948,5,0,24,49152,-1,-1
140,1.2268276800000137,0,793692948,72,594343206,4,0,72,49153,24,-1
92,9.76289999812252e-05,1,594343206,24,793693020,5,0,24,49153,-1,-1
140,1.3295691349999856,0,793693020,72,594343230,4,0,72,53248,24,-1
92,0.00010037900000270383,1,594343230,24,793693092,5,0,24,53248,-1,-1
140,1.2270181319999836,0,793693092,72,594343254,4,0,72,53249,24,-1
92,9.166700002083417e-05,1,594343254,24,793693164,5,0,24,53249,-1,-1
140,1.329235944000004,0,793693164,72,594343278,4,0,72,57344,24,-1
92,8.529699999826335e-05,1,594343278,24,793693236,5,0,24,57344,-1,-1
140,1.227567012999998,0,793693236,72,594343302,4,0,72,57345,24,-1
92,0.00010815299998512273,1,594343302,24,793693308,5,0,24,57345,-1,-1
140,1.3291132219999895,0,793693308,72,594343326,4,0,72,61440,24,-1
92,7.818800000336523e-05,1,594343326,24,793693380,5,0,24,61440,-1,-1
140,1.2269123420000199,0,793693380,72,594343350,4,0,72,61441,24,-1
92,9.172399998647052e-05,1,594343350,24,793693452,5,0,24,61441,-1,-1
140,1.3293717679999872,0,793693452,72,594343374,4,0,72,0,24,-1
92,8.571699999038174e-05,1,594343374,24,793693524,5,0,24,0,-1,-1
140,1.226604535000007,0,793693524,72,594343398,4,0,72,1,24,-1
92,0.00010155999999028609,1,594343398,24,793693596,5,0,24,1,-1,-1
140,1.3292905969999822,0,793693596,72,594343422,4,0,72,4096,24,-1
92,7.89820000193231e-05,1,594343422,24,793693668,5,0,24,4096,-1,-1
140,1.2273567329999935,0,793693668,72,594343446,4,0,72,4097,24,-1
92,9.143200000494289e-05,1,594343446,24,793693740,5,0,24,4097,-1,-1
140,1.3293435239999951,0,793693740,72,594343470,4,0,72,8192,24,-1
92,8.484200000680175e-05,1,594343470,24,793693812,5,0,24,8192,-1,-1
